Designator,Mid X,Mid Y,Rotation,Layer
C1,-14.5,-73.3,270.0,top
C10,-9.6,-62.0,225.0,top
C11,-6.2,-50.1,315.0,top
C12,-14.6,-51.3,45.0,top
C13,-10.7,-61.3,225.0,top
C14,-4.3,-59.2,270.0,top
C15,-14.8,-59.2,270.0,top
C16,-8.7,-47.2,270.0,top
C17,-6.100001,-44.960039,0.0,top
C18,-6.4,-85.0,0.0,top
C19,4.4,-15.0,90.0,top
C2,-14.5,-69.8,90.0,top
C20,4.4,-4.6,90.0,top
C21,106.2,-13.0,270.0,top
C22,106.2,-23.4,270.0,top
C23,4.4,-35.8,90.0,top
C24,4.4,-25.4,90.0,top
C25,106.2,-33.8,270.0,top
C26,106.2,-44.2,270.0,top
C27,4.4,-57.0,90.0,top
C28,4.4,-46.4,90.0,top
C29,106.2,-54.8,270.0,top
C3,-10.3,-77.3,0.0,top
C30,106.2,-65.2,270.0,top
C31,4.4,-77.6,90.0,top
C32,4.4,-67.2,90.0,top
C33,106.2,-75.6,270.0,top
C34,106.2,-86.0,270.0,top
C4,-4.6,-84.0,270.0,top
C5,-6.6,-81.0,0.0,top
C6,-6.6,-79.8,0.0,top
C7,-4.675811,-78.6,0.0,top
C8,-5.2,-69.3,90.0,top
C9,-6.6,-69.8,180.0,top
D1,9.2,-4.8,90.0,top
D10,12.2,1.2,90.0,top
D100,42.2,-16.8,90.0,top
D1000,102.2,-88.8,90.0,top
D1001,81.2,-91.8,90.0,top
D1002,84.2,-91.8,90.0,top
D1003,87.200002,-91.8,90.0,top
D1004,90.200001,-91.8,90.0,top
D1005,93.200001,-91.8,90.0,top
D1006,96.200001,-91.8,90.0,top
D1007,99.200002,-91.8,90.0,top
D1008,102.2,-91.8,90.0,top
D1009,81.2,-82.8,90.0,top
D101,45.2,-16.8,90.0,top
D1010,84.2,-82.8,90.0,top
D1011,87.2,-82.8,90.0,top
D1012,90.2,-82.8,90.0,top
D1013,93.2,-82.8,90.0,top
D1014,96.2,-82.8,90.0,top
D1015,99.2,-82.8,90.0,top
D1016,102.2,-82.8,90.0,top
D1017,81.2,-79.8,90.0,top
D1018,84.2,-79.8,90.0,top
D1019,87.2,-79.8,90.0,top
D102,48.2,-16.8,90.0,top
D1020,90.2,-79.8,90.0,top
D1021,93.2,-79.8,90.0,top
D1022,96.2,-79.8,90.0,top
D1023,99.2,-79.8,90.0,top
D1024,102.2,-79.8,90.0,top
D103,51.2,-16.8,90.0,top
D104,54.2,-16.8,90.0,top
D105,33.2,-19.8,90.0,top
D106,36.2,-19.8,90.0,top
D107,39.200002,-19.8,90.0,top
D108,42.200001,-19.8,90.0,top
D109,45.200001,-19.8,90.0,top
D11,15.2,1.2,90.0,top
D110,48.200001,-19.8,90.0,top
D111,51.200002,-19.8,90.0,top
D112,54.2,-19.8,90.0,top
D113,33.2,-10.8,90.0,top
D114,36.2,-10.8,90.0,top
D115,39.2,-10.8,90.0,top
D116,42.2,-10.8,90.0,top
D117,45.2,-10.8,90.0,top
D118,48.2,-10.8,90.0,top
D119,51.2,-10.8,90.0,top
D12,18.2,1.2,90.0,top
D120,54.2,-10.8,90.0,top
D121,33.2,-7.8,90.0,top
D122,36.2,-7.8,90.0,top
